English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Russian Word	Russian Synonyms
aback	0	0	0	0	0	0	0	0	0	0	ошеломленный	
abate	0	0	0	0	0	0	0	0	0	0	уменьшаться	
abatement	0	0	0	0	0	0	0	0	0	0	сокращение	
abbreviate	0	0	0	0	0	0	0	0	0	0	сокращать	
abbreviation	0	0	0	0	0	0	0	0	0	0	Сокращенное название	
abdomen	0	0	0	0	0	0	0	0	0	0	живот	
abdominal	0	0	0	0	0	0	0	0	0	0	брюшной	
abeyance	0	0	0	0	0	0	0	0	0	0	отсрочка	
abide	0	0	0	0	0	0	0	0	0	0	соблюдать	
ablation	0	0	0	0	0	0	0	0	0	0	абляция	
ablaze	0	0	0	0	0	0	0	0	0	0	пылающий	
aboard	0	0	0	0	0	0	0	0	0	0	на борту	
abode	0	0	0	0	0	0	0	0	0	0	обитель	
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген	
abound	0	0	0	0	0	0	0	0	0	0	изобиловать	
abroad	0	0	0	0	0	0	0	0	0	0	за рубежом	
abruptly	0	0	0	0	0	0	0	0	0	0	резко	
absinthe	0	0	0	0	0	0	0	0	0	0	абсент	
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент	
absorbing	0	0	0	0	0	0	0	0	0	0	поглощающий	
absorption	0	0	0	0	0	0	0	0	0	0	поглощение	
abstain	0	0	0	0	0	0	0	0	0	0	воздерживаться	
abstention	0	0	0	0	0	0	0	0	0	0	воздержание	
abstinence	0	0	0	0	0	0	0	0	0	0	воздержание	
abstract	0	0	0	0	0	0	0	0	0	0	Аннотация	
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция	
abutment	0	0	0	0	0	0	0	0	0	0	абатмент	
aby	0	0	0	0	0	0	0	0	0	0	абы	
accede	0	0	0	0	0	0	0	0	0	0	присоединиться	
acceleration	0	0	0	0	0	0	0	0	0	0	ускорение	
accent	0	0	0	0	0	0	0	0	0	0	акцент	
accentuate	0	0	0	0	0	0	0	0	0	0	подчеркивать	
accept	0	0	0	0	0	0	0	0	0	0	принимать	
access	0	0	0	0	0	0	0	0	0	0	доступ	
accession	0	0	0	0	0	0	0	0	0	0	присоединение	
accessory	0	0	0	0	0	0	0	0	0	0	аксессуар	
accommodate	0	0	0	0	0	0	0	0	0	0	разместить	
accompany	0	0	0	0	0	0	0	0	0	0	сопровождать	
accompanying	0	0	0	0	0	0	0	0	0	0	сопровождающий	
accomplice	0	0	0	0	0	0	0	0	0	0	сообщник	
accordance	0	0	0	0	0	0	0	0	0	0	соответствие	
accordion	0	0	0	0	0	0	0	0	0	0	аккордеон	
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтерский учет	
accretion	0	0	0	0	0	0	0	0	0	0	аккреция	
accrue	0	0	0	0	0	0	0	0	0	0	накапливаться	
accumulate	0	0	0	0	0	0	0	0	0	0	накапливать	
accumulation	0	0	0	0	0	0	0	0	0	0	накопление	
accuracy	0	0	0	0	0	0	0	0	0	0	точность	
accustomed	0	0	0	0	0	0	0	0	0	0	привыкший	
acetic	0	0	0	0	0	0	0	0	0	0	уксусный	
acidity	0	0	0	0	0	0	0	0	0	0	кислотность	
acknowledge	0	0	0	0	0	0	0	0	0	0	сознавать	
acknowledged	0	0	0	0	0	0	0	0	0	0	признанный	
acme	0	0	0	0	0	0	0	0	0	0	акме	
acoustic	0	0	0	0	0	0	0	0	0	0	акустический	
